entity_name,chunk_type,text,vector_id,state,aum_min,aum_max,entity_type
Chestnut Family Foundation,profile,Entity: Chestnut Family Foundation. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: [N/A]. Recent Signal: [N/A].,10,UNKNOWN,0,99999,SFO (Probable)
Cinelli Family Foundation,profile,Entity: Cinelli Family Foundation. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: [N/A]. Recent Signal: [N/A].,11,UNKNOWN,0,99999,SFO (Probable)
Crabill Family Foundation,profile,Entity: Crabill Family Foundation. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: [N/A]. Recent Signal: [N/A].,12,UNKNOWN,0,99999,SFO (Probable)
Crown Family Foundation,profile,Entity: Crown Family Foundation. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: [N/A]. Recent Signal: [N/A].,13,UNKNOWN,0,99999,SFO (Probable)
Davis Family Foundation,profile,Entity: Davis Family Foundation. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: [N/A]. Recent Signal: [N/A].,14,UNKNOWN,0,99999,SFO (Probable)
Dorrance Family Foundation,profile,Entity: Dorrance Family Foundation. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: [N/A]. Recent Signal: [N/A].,15,UNKNOWN,0,99999,SFO (Probable)
Dunlap Family Foundation,profile,Entity: Dunlap Family Foundation. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: [N/A]. Recent Signal: [N/A].,16,UNKNOWN,0,99999,SFO (Probable)
Edgerley Family Foundation,profile,Entity: Edgerley Family Foundation. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: [N/A]. Recent Signal: [N/A].,17,UNKNOWN,0,99999,SFO (Probable)
Farmer Family Foundation,profile,Entity: Farmer Family Foundation. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: [N/A]. Recent Signal: [N/A].,18,UNKNOWN,0,99999,SFO (Probable)
Ford Family Foundation,profile,Entity: Ford Family Foundation. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: [N/A]. Recent Signal: [N/A].,19,UNKNOWN,0,99999,SFO (Probable)
Friedman Family Foundation,profile,Entity: Friedman Family Foundation. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: [N/A]. Recent Signal: [N/A].,20,UNKNOWN,0,99999,SFO (Probable)
Goldring Family Foundation,profile,Entity: Goldring Family Foundation. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: [N/A]. Recent Signal: [N/A].,21,UNKNOWN,0,99999,SFO (Probable)
Hall Family Foundation,profile,Entity: Hall Family Foundation. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: [N/A]. Recent Signal: [N/A].,22,UNKNOWN,0,99999,SFO (Probable)
Halvorsen Family Foundation,profile,Entity: Halvorsen Family Foundation. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: [N/A]. Recent Signal: [N/A].,23,UNKNOWN,0,99999,SFO (Probable)
Hunter Family Foundation,profile,Entity: Hunter Family Foundation. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: [N/A]. Recent Signal: [N/A].,24,UNKNOWN,0,99999,SFO (Probable)
Kolatch Family Foundation,profile,Entity: Kolatch Family Foundation. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: [N/A]. Recent Signal: [N/A].,25,UNKNOWN,0,99999,SFO (Probable)
Konzen Family Foundation,profile,Entity: Konzen Family Foundation. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: [N/A]. Recent Signal: [N/A].,26,UNKNOWN,0,99999,SFO (Probable)
Koum Family Foundation,profile,Entity: Koum Family Foundation. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: [N/A]. Recent Signal: [N/A].,27,UNKNOWN,0,99999,SFO (Probable)
Mandarich Family Foundation,profile,Entity: Mandarich Family Foundation. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: [N/A]. Recent Signal: [N/A].,28,UNKNOWN,0,99999,SFO (Probable)
Marek Family Foundation,profile,Entity: Marek Family Foundation. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: [N/A]. Recent Signal: [N/A].,29,UNKNOWN,0,99999,SFO (Probable)
Mondre Family Foundation,profile,Entity: Mondre Family Foundation. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: [N/A]. Recent Signal: [N/A].,30,UNKNOWN,0,99999,SFO (Probable)
Mulva Family Foundation,profile,Entity: Mulva Family Foundation. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: [N/A]. Recent Signal: [N/A].,31,UNKNOWN,0,99999,SFO (Probable)
Names Family Foundation,profile,Entity: Names Family Foundation. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: [N/A]. Recent Signal: [N/A].,32,UNKNOWN,0,99999,SFO (Probable)
Overdeck Family Foundation,profile,Entity: Overdeck Family Foundation. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: [N/A]. Recent Signal: [N/A].,33,UNKNOWN,0,99999,SFO (Probable)
Pathy Family Foundation,profile,Entity: Pathy Family Foundation. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: [N/A]. Recent Signal: [N/A].,34,UNKNOWN,0,99999,SFO (Probable)
Patterson Family Foundation,profile,Entity: Patterson Family Foundation. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: [N/A]. Recent Signal: [N/A].,35,UNKNOWN,0,99999,SFO (Probable)
Phillips Family Foundation,profile,Entity: Phillips Family Foundation. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: [N/A]. Recent Signal: [N/A].,36,UNKNOWN,0,99999,SFO (Probable)
Pichai Family Foundation,profile,Entity: Pichai Family Foundation. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: [N/A]. Recent Signal: [N/A].,37,UNKNOWN,0,99999,SFO (Probable)
Silver Family Foundation,profile,Entity: Silver Family Foundation. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: [N/A]. Recent Signal: [N/A].,38,UNKNOWN,0,99999,SFO (Probable)
Slaggie Family Foundation,profile,Entity: Slaggie Family Foundation. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: [N/A]. Recent Signal: [N/A].,39,UNKNOWN,0,99999,SFO (Probable)
Sobrato Family Foundation,profile,Entity: Sobrato Family Foundation. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: [N/A]. Recent Signal: [N/A].,40,UNKNOWN,0,99999,SFO (Probable)
Spaht Family Foundation,profile,Entity: Spaht Family Foundation. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: [N/A]. Recent Signal: [N/A].,41,UNKNOWN,0,99999,SFO (Probable)
Stanley Family Foundation,profile,Entity: Stanley Family Foundation. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: [N/A]. Recent Signal: [N/A].,42,UNKNOWN,0,99999,SFO (Probable)
Steans Family Foundation,profile,Entity: Steans Family Foundation. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: [N/A]. Recent Signal: [N/A].,43,UNKNOWN,0,99999,SFO (Probable)
Sundheim Family Foundation,profile,Entity: Sundheim Family Foundation. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: [N/A]. Recent Signal: [N/A].,44,UNKNOWN,0,99999,SFO (Probable)
Towle Family Foundation,profile,Entity: Towle Family Foundation. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: [N/A]. Recent Signal: [N/A].,45,UNKNOWN,0,99999,SFO (Probable)
Tsao Family Foundation,profile,Entity: Tsao Family Foundation. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: [N/A]. Recent Signal: [N/A].,46,UNKNOWN,0,99999,SFO (Probable)
Weill Family Foundation,profile,Entity: Weill Family Foundation. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: [N/A]. Recent Signal: [N/A].,47,UNKNOWN,0,99999,SFO (Probable)
Wyatt Family Foundation,profile,Entity: Wyatt Family Foundation. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: [N/A]. Recent Signal: [N/A].,48,UNKNOWN,0,99999,SFO (Probable)
Zorich Family Foundation,profile,Entity: Zorich Family Foundation. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: [N/A]. Recent Signal: [N/A].,49,UNKNOWN,0,99999,SFO (Probable)
